idCadastrar_Produtos,Setor_Produtor,Codigo_do_Produto,Descricao_do_Produto,PesoRefungo,PesoEmbalagem
237,CORTE DE BOBINAS,111,57 mm X 22 m c/ 48 un - L1,2.67,0
238,CORTE DE BOBINAS,112,57 mm X 22 m c/ 48 un - L2,2.67,0
239,CORTE DE BOBINAS,131,57 mm X 30 m c/ 40 un - L1,3.36,0
240,CORTE DE BOBINAS,132,57 mm X 30 m c/ 40 un - L2,3.36,0
241,CORTE DE BOBINAS,151,57 mm X 40 m c/ 30 un - L1,3.02,0
242,CORTE DE BOBINAS,152,57 mm X 40 m c/ 30 un -  L2,3.02,0
243,CORTE DE BOBINAS,171,57 mm X 50 m c/ 24 un - L1,3.05,0
244,CORTE DE BOBINAS,172,57 mm X 50 m c/ 24 un - L2,3.05,0
245,CORTE DE BOBINAS,191,57 mm X 80 m c/ 16 un - L1,3.44,0
246,CORTE DE BOBINAS,192,57 mm X 80 m c/ 16 un - L2,3.44,0
247,CORTE DE BOBINAS,211,57 mm X 100 m c/ 20 un - L1,4.78,0
248,CORTE DE BOBINAS,212,57 mm X 100 m c/ 20 un - L2,4.78,0
249,CORTE DE BOBINAS,231,57 mm X 150 m c/ 14 un - L1,5.34,0
250,CORTE DE BOBINAS,232,57 mm X 150 m c/ 14 un - L2,5.34,0
251,CORTE DE BOBINAS,251,57 mm X 200 m c/ 06 un - L1,3.05,0
252,CORTE DE BOBINAS,252,57 mm X 200 m c/ 06 un - L2,3.05,0
253,CORTE DE BOBINAS,271,57 mm X 270 m c/ 04 un - L1,2.92,0
254,CORTE DE BOBINAS,272,57 mm X 270 m c/ 04 un - L2,2.92,0
255,CORTE DE BOBINAS,291,57 mm X 300 m c/ 04 un - L1,3.05,0
256,CORTE DE BOBINAS,292,57 mm X 300 m c/ 04 un - L2,3.05,0
257,CORTE DE BOBINAS,311,57 mm X 360 m c/ 06 un - L1,5.37,0
258,CORTE DE BOBINAS,312,57 mm X 360 m c/ 06 un - L2,5.37,0
259,CORTE DE BOBINAS,331,76 mm X 20 m c/ 56 un - L1,4.29,0
260,CORTE DE BOBINAS,332,76 mm X 20 m c/ 56 un - L2,4.29,0
261,CORTE DE BOBINAS,351,76 mm X 30 m c/ 40 un - L1,4.36,0
262,CORTE DE BOBINAS,352,76 mm X 30 m c/ 40 un - L2,4.36,0
263,CORTE DE BOBINAS,441,76 mm X 40 m c/ 30 un - L1,4.36,0
264,CORTE DE BOBINAS,442,76 mm X 40 m c/ 30 un - L2,4.36,0
265,CORTE DE BOBINAS,461,76 mm X 80 m c/ 16 un - L1,4.65,0
266,CORTE DE BOBINAS,462,76 mm X 80 m c/ 16 un - L2,4.65,0
267,CORTE DE BOBINAS,481,76 mm X 110 m c/ 12 un - L1,5.05,0
268,CORTE DE BOBINAS,482,76 mm X 110 m c/ 12 un - L2,5.05,0
269,CORTE DE BOBINAS,501,76 mm X 360 m c/ 04 un - L1,5.24,0
270,CORTE DE BOBINAS,502,76 mm X 360 m c/ 04 un - L2,5.24,0
271,CORTE DE BOBINAS,521,80 mm X 20 m c/ 56 un - L1,4.29,0
272,CORTE DE BOBINAS,522,80 mm X 20 m c/ 56 un - L2,4.29,0
273,CORTE DE BOBINAS,541,80 mm X 30 m c/ 40 un - L1,4.36,0
274,CORTE DE BOBINAS,542,80 mm X 30 m c/ 40 un - L2,4.36,0
275,CORTE DE BOBINAS,561,80 mm X 40 m c/ 30 un - L1,4.36,0
276,CORTE DE BOBINAS,562,80 mm X 40 m c/ 30 un - L2,4.36,0
277,CORTE DE BOBINAS,581,80 mm X 80 m c/ 16 un - L1,4.65,0
278,CORTE DE BOBINAS,582,80 mm X 80 m c/ 16 un - L2,4.65,0
279,CORTE DE BOBINAS,601,80 mm X 110 m c/ 12 un - L1,5.05,0
280,CORTE DE BOBINAS,602,80 mm X 110 m c/ 12 un - L2,5.05,0
281,CORTE DE BOBINAS,621,80 mm X 360 m c/ 04 un - L1,5.24,0
282,CORTE DE BOBINAS,622,80 mm X 360 m c/ 04 un - L2,5.24,0
283,CORTE DE BOBINAS,641,57 mm X 10 m c/ 100 un - L1,2.46,0
284,CORTE DE BOBINAS,642,57 mm X 10 m c/ 100 un - L2,2.46,0
285,CORTE DE A4,13,A4 MULTIUSO 5R,11.67,0.0411
286,CORTE DE A4,14,A4 SULFITE 5R,11,0.0411
287,CORTE DE A4,15,A3 SULFITE 5R,23.34,0.0411
288,CORTE DE A4,16,A4 MICRO SERRILHADO 5R,11.67,0.0411
289,CORTE DE A4,17,A4 REALZINHO 25R,11,0.0411
290,CORTE DE A4,18,A4 PAPER + 5R,11,0.0411
291,CORTE DE A4,170,A4 OCEANO 5R,11,0.0411
292,CORTE DE A4,1132,A4 HPAPERL 5R,11,0.0411
293,CORTE DE A4,23,A4 MULTIUSO 5R,11.67,0.0411
294,CORTE DE A4,24,A4 SULFITE 5R,11,0.0411
295,CORTE DE A4,25,A3 SULFITE 5R,23.34,0.0411
296,CORTE DE A4,26,A4 MICRO SERRILHADO 5R,11.67,0.0411
297,CORTE DE A4,27,A4 REALZINHO 25R,11,0.0411
298,CORTE DE A4,28,A4 PAPER + 5R,11,0.0411
299,CORTE DE A4,270,A4 OCEANO 5R,11,0.0411
300,CORTE DE A4,2132,A4 HPAPERL 5R,11,0.0411
301,CORTE DE A4,33,A4 MULTIUSO 5R,11.67,0.0411
302,CORTE DE A4,34,A4 SULFITE 5R,11,0.0411
303,CORTE DE A4,35,A3 SULFITE 5R,23.34,0.0411
304,CORTE DE A4,36,A4 MICRO SERRILHADO 5R,11.67,0.0411
305,CORTE DE A4,37,A4 REALZINHO 25R,11,0.0411
306,CORTE DE A4,38,A4 PAPER + 5R,11,0.0411
307,CORTE DE A4,370,A4 OCEANO 5R,11,0.0411
308,CORTE DE A4,3132,A4 HPAPERL 5R,11,0.0411
309,CORTE DE A4,1179,REFUGO EM CX,20,0
