Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
CORTE DE BOBINAS,02/12/2019,,1.00,,0.99,,1.00,,0.99,0.75,78.00,,0.99,,78.75,,,24.76,,0h,0,24,76,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,02/12/2019,,1.00,,0.67,,1.00,,0.67,10261.34,21000.00,,0.67,,31261.34,,,13911.30,,0h,0,13.911,30,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,03/12/2019,,1.00,,0.98,,0.99,,0.97,3.00,137.00,,0.98,,140.00,,,41.44,,0h,0,41,44,0,2,59,8:45,,,,,,0.00,,0.00,,0.01
CORTE DE BOBINAS,03/12/2019,,1.00,,0.95,,0.96,,0.92,3.75,75.00,,0.95,,78.75,,,24.76,,0h,0,24,76,0,2,75,8:45,,,,,,,,0.04,,
IMPRESSÃO,03/12/2019,,1.00,,0.43,,0.99,,0.42,19700.00,14600.00,,0.43,,34300.00,,,15263.50,,0h,0,15.263,50,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,04/12/2019,,0.95,,0.73,,0.99,,0.68,35.53,97.00,,0.69,,140.00,,,39.23,7.47,0h,0,39,23,0:28,2,59,8:17,,,,,,0.00,,0.01,,0.01
CORTE DE BOBINAS,04/12/2019,,1.00,,1.01,,0.98,,0.98,-0.36,64.00,,1.01,,63.64,,,20.01,,0h,0,20,01,0,2,75,8:45,,,,,,,,0.02,,
CORTE DE A4,05/12/2019,,0.99,,0.72,,-∞,,-∞,43.60,113.00,,0.72,,157.50,,,46.35,0.90,0h,0,46,35,0:03,2,59,8:42,,,,,,∞,,0.02,,0.01
CORTE DE BOBINAS,05/12/2019,,1.00,,0.80,,0.97,,0.78,8.75,35.00,,0.80,,43.75,,,13.76,,0h,0,13,76,0,2,75,8:45,,,,,,,,0.03,,
IMPRESSÃO,05/12/2019,,0.05,,4.76,,1.00,,0.24,-6636.00,8400.00,,0.24,,34300.00,,,784.98,32536.00,0h,0,784,98,8:18,3,89,0:27,,,,,,,,0.00,,
CORTE DE A4,06/12/2019,,1.00,,0.83,,0.99,,0.82,24.00,116.00,,0.83,,140.00,,,41.44,,0h,0,41,44,0,2,59,8:45,,,,,,0.01,,0.00,,
CORTE DE BOBINAS,06/12/2019,,1.00,,0.88,,0.99,,0.87,11.03,79.00,,0.88,,90.03,,,28.31,,0h,0,28,31,0,2,75,8:45,,,,,,,,0.01,,
IMPRESSÃO,06/12/2019,,0.43,,0.35,,0.99,,0.15,9500.00,5200.00,,0.15,,34300.00,,,6541.50,19600.00,0h,0,6.541,50,5,3,89,3:45,,,,,,,,0.01,,
CORTE DE A4,09/12/2019,,0.93,,0.80,,0.99,,0.74,26.67,104.00,,0.74,,140.00,,,38.68,9.33,0h,0,38,68,0:35,2,59,8:10,,,,,,0.00,,0.00,,0.02
IMPRESSÃO,09/12/2019,,1.00,,0.57,,0.99,,0.57,11585.61,15600.00,,0.57,,27185.61,,,12097.59,,0h,0,12.097,59,0,3,89,8:45,,,,,,,,0.01,,
CORTE DE A4,10/12/2019,,0.81,,0.63,,-∞,,-∞,46.90,80.00,,0.51,,157.50,,,37.56,30.60,0h,0,37,56,1:42,2,59,7:03,,,,,,∞,,0.03,,0.01
IMPRESSÃO,10/12/2019,,1.00,,11.67,,1.00,,11.61,-106882.29,116900.00,,11.67,,10017.71,,,4457.88,,0h,0,4.457,88,0,3,89,8:45,,,,,,,,0.00,,
CORTE DE A4,11/12/2019,,0.91,,0.38,,-∞,,-∞,90.00,54.00,,0.34,,157.50,,,42.62,13.50,0h,0,42,62,0:45,2,59,8,,,,,,∞,,0.02,,0.02
CORTE DE BOBINAS,11/12/2019,,1.00,,0.88,,1.00,,0.88,9.47,72.00,,0.88,,81.47,,,25.61,,0h,0,25,61,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,11/12/2019,,0.05,,12.53,,1.00,,0.64,-20336.00,22100.00,,0.64,,34300.00,,,784.98,32536.00,0h,0,784,98,8:18,3,89,0:27,,,,,,,,,,
CORTE DE A4,12/12/2019,,0.77,,0.57,,-∞,,-∞,51.60,69.00,,0.44,,157.50,,,35.70,36.90,0h,0,35,70,2:03,2,59,6:42,,,,,,∞,,0.06,,0.03
CORTE DE BOBINAS,12/12/2019,,1.00,,1.21,,0.99,,1.20,-9.25,53.00,,1.21,,43.75,,,13.76,,0h,0,13,76,0,2,75,8:45,,,,,,,,0.01,,
